anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
34784,Kuroko no Basket: Oshaberi Shiyou ka,UNKNOWN,黒子のバスケ お喋りしようか,7.18,"Comedy, Sports",Special included on Kuroko no Basket Fan Disc 3: Korekara Nandodemo.,Special,1.0,"Jan 27, 2017",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,Production I.G,Manga,15 min,PG-13 - Teens 13 or older,3125.0,5019,8,5448.0,15940,https://cdn.myanimelist.net/images/anime/9/83916.jpg
3464,Kemeko Deluxe!,UNKNOWN,ケメコデラックス！,6.55,"Action, Comedy, Romance, Sci-Fi, Ecchi","When Sanpeita Kobayashi was a child, his lovely friend had to move away, but she vowed that in ten years, they would meet again—as husband and wife. Ten years later, Sanpeita is a high school student, but he hasn't forgotten the feelings they shared.

Sanpeita awakes from a dream about his last day with her, only to have his morning interrupted. A weird robot girl is battling other robots in his bedroom, claiming to be his wife. The robot's pilot looks like none other than Sanpeita's long-lost, childhood friend. But who is she really? Why did she have to leave? And what does she have to do with the Mishima Electronics Corporation?",TV,12.0,"Oct 5, 2008 to Dec 21, 2008",fall 2008,Finished Airing,"Geneon Universal Entertainment, Yomiuri Telecasting, KlockWorx, AC Create, Yomiuri Advertising, ASCII Media Works",UNKNOWN,Hal Film Maker,Manga,24 min per ep,PG-13 - Teens 13 or older,6054.0,3232,55,16947.0,41132,https://cdn.myanimelist.net/images/anime/3/75538.jpg
54253,"Sekai, Nishihara Shoukai no Sekai! Part 2 Gyaku featuring Crazy Ken Band",UNKNOWN,世界、西原商会の世界！ Part 2 逆featuring CRAZY KEN BAND,UNKNOWN,UNKNOWN,"Music video for the song Sekai, Nishihara Shoukai no Sekai! Part 2 Gyaku featuring CRAZY KEN BAND by RHYMESTER. It is an official remix of Nishihara Shokai's company song and was produced to commemorate the company's 50th anniversary.",Music,1.0,"May 25, 2022",UNKNOWN,Finished Airing,"Victor Entertainment, Tohokushinsha Film Corporation",UNKNOWN,"Sunrise, studio NAGURI",Original,6 min,G - All Ages,UNKNOWN,20918,0,UNKNOWN,85,https://cdn.myanimelist.net/images/anime/1247/132768.jpg
5997,Sabu to Ichi Torimono Hikae,Sabu & Ichi's Arrest Warrant,佐武と市捕物控,6.69,"Action, Adventure, Drama, Slice of Life","The series follows the adventures of Sabu, a young Edo bakufu investigator traveling with the blind master swordsman Ichi. In their travels, they assist the common people in solving mysteries and righting wrongs (usually committed by bandits or corrupt officials). Sabu is engaged to Midori, the daughter of his boss, who works as a police officer for the Tokugawa shogunate.

(Source: Wikipedia)",TV,52.0,"Oct 3, 1968 to Sep 24, 1969",fall 1968,Finished Airing,"Mushi Production, Mainichi Broadcasting System",UNKNOWN,Toei Animation,Manga,25 min per ep,R - 17+ (violence & profanity),5396.0,10178,10,354.0,2342,https://cdn.myanimelist.net/images/anime/9/84054.jpg
6425,Weiß Survive,UNKNOWN,ヴァイス・サヴァイヴ,6.03,"Comedy, Ecchi","Takeshi was just an ordinary guy until a perfectly innocent study session with Michi - the most beautiful girl in the school - ended up with him being mysteriously transported into the strange dimension known as the Weiss Schwarz Battle Space. Once there, a crazy but enthusiastic old man informs him that he is the chosen warrior and must win a succession of card battles to get back home. 

The only problem: he doesn't know how to play! However, with the expert Michi ready to teach him the ins and outs of this bizarre and improbably slapstick card game, Takeshi will learn the ropes and get ready for the card battle of a lifetime. Assuming he survives the training... 

(Source: ANN)",TV,16.0,"Jun 6, 2009 to Sep 26, 2009",summer 2009,Finished Airing,"TBS, Bushiroad",UNKNOWN,Studio Hibari,Card game,2 min per ep,PG-13 - Teens 13 or older,8714.0,4483,7,8355.0,20867,https://cdn.myanimelist.net/images/anime/10/17261.jpg
34356,Cofun Gal no Coffy (TV) Specials,UNKNOWN,古墳ギャルのコフィー,UNKNOWN,Comedy,"Cofun Gal no Coffy (TV) DVD specials. The official website lists these episodes as various ""pilots"".",Special,4.0,"Sep 21, 2006 to Dec 22, 2006",UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,11 min per ep,PG-13 - Teens 13 or older,15350.0,18183,0,UNKNOWN,239,https://cdn.myanimelist.net/images/anime/5/82761.jpg
5150,Hatsukoi Limited.,Hatsukoi Limited,初恋限定。,7.27,"Comedy, Romance","Ayumi Arihara believes that being loved is the ultimate key to happiness—which is why her greatest wish is to have a boy confess to her. A series of unfortunate events leads to her ideal dream coming true, albeit in a nightmarish way: the towering and terrifying Misao Zaitsu confesses his love to Ayumi through a letter.

Mentally exhausted from not knowing what to do, Ayumi collapses in class. A classmate comes to her rescue, carrying her princess-style to the infirmary. This makes Ayumi fall in love with the cute boy, only to realize he is none other than Misao's younger brother, Mamoru.

Feeling caught between a rock and a hard place, Ayumi must decide whether to stick to her idea of love or pursue what she truly desires. However, Ayumi is not alone in her struggles—all her friends are also taking on the challenges of first love, and for teenagers, it is never as easy as it seems.",TV,12.0,"Apr 12, 2009 to Jun 28, 2009",spring 2009,Finished Airing,Shueisha,Sentai Filmworks,J.C.Staff,Manga,24 min per ep,PG-13 - Teens 13 or older,2700.0,1946,216,39966.0,99105,https://cdn.myanimelist.net/images/anime/7/15520.jpg
46257,Art de Qihuan Zhi Lu,Art's Magic Journey,阿特的奇幻之旅,UNKNOWN,"Adventure, Fantasy",No description available for this anime.,TV,26.0,2010 to ?,UNKNOWN,Finished Airing,UNKNOWN,UNKNOWN,UNKNOWN,Original,22 min per ep,PG - Children,14629.0,22791,0,UNKNOWN,50,https://cdn.myanimelist.net/images/anime/1892/129826.jpg
4744,Akaneiro ni Somaru Saka,Akane Iro ni Somaru Saka,あかね色に染まる坂,6.39,"Comedy, Romance, Ecchi","Yuuhi Katagiri is not your average girl – she's the treasured daughter of the Katagiri family. She's generally kept under strict supervision, but one day ends up walking home from school on her own. This proves to be instant trouble when a group of boys start harassing her. Junichi Nagase, who was on his way home from a convenience store, sees the troubled Yuuhi and comes to her rescue. One of the boys recognized Junichi as the famed ""Geno Killer"" and they dash off. Yuuhi thanks Junichi and when she asked for his name, he just waves and leaves. Of course, he regrets trying to act cool in front of the beautiful girl right away, wishing he asked her name.

The following day, a transfer student joins Junichi's class – it's Yuuhi! She calls Junichi out as the ""Geno Killer"", the only name she remembers him by, and rumors about the two spread quickly. Matters are made worse when Junichi kisses Yuuhi due to a misunderstanding. And on top of all that, it turns out that Junichi is Yuuhi's fiancé!

Yuuhi doesn't see Junichi as someone worthy. But, she could not go against her father's wishes. The only thing that Yuuhi can do is live with Junichi in the house he shares with his little sister Minato, and prove that Junichi is not worthy to be her husband. Will she succeed in proving his unworthiness, or will she fall in love on the way?",TV,12.0,"Oct 3, 2008 to Dec 19, 2008",fall 2008,Finished Airing,"Marvelous, feng, Delfi Sound, Pony Canyon Enterprise",Sentai Filmworks,TNK,Visual novel,25 min per ep,R+ - Mild Nudity,6906.0,1436,245,80352.0,149334,https://cdn.myanimelist.net/images/anime/9/21525.jpg
9979,Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,UNKNOWN,映画 プリキュアオールスターズDX3 未来に届け!世界をつなぐ☆虹色の花,7.5,"Action, Fantasy",Precure 10th Anniversary Movie and 3rd Precure All Stars DX. Enemies are from all the Precure works.,Movie,1.0,"Mar 19, 2011",UNKNOWN,Finished Airing,Asahi Broadcasting,UNKNOWN,Toei Animation,Original,1 hr 11 min,G - All Ages,1719.0,7490,15,2569.0,5873,https://cdn.myanimelist.net/images/anime/12/27934.jpg
